status,url_length,domain_length,path_length,count_dots,count_hyphens,count_subdomains,has_ip,has_at,has_double_slash,is_https,num_params,sensitive_words,special_chars,digit_ratio,vowels_in_domain,has_prefix_suffix,avg_word_len_path,count_ampersands,count_equals,is_shortened,shannon_entropy,relative_entropy,count_slashes
0,31,22,1,2,0,1,0,0,0,1,0,0,6,0.0,6,0,0.0,0,0,1,3.7843684875968617,0.7575903615982597,3
1,50,21,22,2,0,1,0,0,0,0,0,0,8,0.06,9,0,4.0,0,0,0,4.174177320667443,0.3308409051332431,5
1,34,23,4,2,0,1,0,0,0,0,0,0,7,0.0,5,0,2.0,0,0,0,4.079678649882975,0.3930185559138166,4
0,27,19,1,2,0,1,0,0,0,0,0,0,6,0.1481481481481481,4,0,0.0,0,0,0,4.032303242743954,1.0771666909740896,3
0,63,14,42,3,2,2,0,0,0,0,0,0,13,0.0,4,0,5.833333333333333,0,0,0,4.075590044566195,0.3754167706871533,7
0,66,16,42,2,4,1,0,0,0,1,0,0,11,0.0,4,0,6.0,0,0,1,4.2980550138102505,0.2109297896255115,4
1,40,11,22,2,0,0,0,0,0,0,0,0,8,0.1,2,0,2.8,0,0,0,4.225070520364181,0.5050825008625627,5
0,48,16,25,1,3,0,0,0,0,0,0,0,9,0.0,5,1,5.25,0,0,0,4.1551876989901,0.2173617089591341,4
1,126,50,19,4,1,3,0,0,0,0,3,2,18,0.0952380952380952,17,0,2.2,2,3,0,4.710764845058316,0.5908913711323288,4
1,41,32,1,2,0,1,0,0,0,1,0,0,6,0.0,9,0,0.0,0,0,1,4.064392248309453,0.1719170334363809,3
0,36,27,1,2,0,1,0,0,0,1,0,0,6,0.0,8,0,0.0,0,0,0,4.141604167868593,0.3892909114341799,3
0,72,24,41,2,7,1,0,0,0,0,0,0,15,0.0,6,1,4.714285714285714,0,0,0,4.187132212342207,0.4259257425474231,5
1,68,42,19,4,0,3,0,0,0,0,0,2,9,0.1617647058823529,15,0,1.2,0,0,0,4.552115370751692,0.6633015366781896,4
1,163,14,32,4,9,1,0,1,0,0,0,0,23,0.3987730061349693,5,0,5.5,2,1,0,4.803363778168904,1.8411776172188932,3
0,26,18,1,2,0,1,0,0,0,0,0,0,6,0.0,6,0,0.0,0,0,0,3.921029621737614,0.6421632149793328,3
1,64,17,40,2,0,1,0,0,0,0,0,0,7,0.34375,6,0,1.7777777777777777,0,0,0,4.540873781480403,1.4774025590103008,4
1,36,28,1,4,0,3,0,0,0,0,0,0,8,0.25,4,0,0.0,0,0,1,4.239097917988785,1.2310511109967237,3
1,61,14,40,2,0,0,0,0,0,0,0,0,10,0.0,3,0,5.666666666666667,0,0,1,4.0864177725789865,0.4882902778975468,6
0,66,17,15,2,0,1,0,0,0,1,1,0,9,0.2121212121212121,6,0,6.5,0,1,0,4.727820589213287,0.7904503281675077,4
0,35,26,1,2,0,1,0,0,0,1,0,0,6,0.0,8,0,0.0,0,0,0,4.068728288980287,0.2647411426719376,3
1,113,24,82,5,0,0,0,0,0,0,0,0,19,0.0,6,0,4.466666666666667,0,1,0,4.381353667938558,0.3100996487584446,10
0,41,34,0,2,4,1,0,0,0,0,0,0,9,0.0,6,0,0.0,0,0,0,3.646845529315216,1.262249309999386,2
0,23,12,4,2,1,1,0,0,0,0,0,0,7,0.0,1,1,3.0,0,0,0,3.642489673166127,0.9624001433299236,3
0,31,24,0,2,1,1,0,0,0,0,0,0,6,0.0,7,0,0.0,0,0,0,4.039211536948156,0.4618000334693275,2
1,84,30,47,2,2,0,0,0,0,0,0,1,12,0.0,13,0,4.875,0,0,0,4.23580353402117,0.0924101527533927,7
1,29,17,5,2,0,1,0,0,0,0,0,0,6,0.0,3,0,4.0,0,0,0,4.047299098426644,0.6212778441743623,3
1,98,26,65,2,2,1,0,0,0,0,0,0,14,0.2959183673469387,9,1,2.8,0,0,0,4.825204589986269,1.0140844025550246,9
0,15,8,0,1,0,0,0,0,0,0,0,0,4,0.0,2,0,0.0,0,0,0,3.189898095464287,1.0497703546877806,2
0,65,22,36,2,0,1,0,0,0,0,0,0,11,0.0,8,0,5.0,0,0,0,4.091244067295043,0.9909967284475496,4
1,131,27,87,2,1,1,0,0,0,1,1,1,19,0.0305343511450381,7,0,6.0,0,1,1,4.801639004271401,0.4195472189064325,7
0,50,23,19,2,1,1,0,0,0,1,0,0,8,0.0,6,1,8.5,0,0,0,4.191272380112911,0.2455090157956736,4
1,51,32,12,2,0,1,0,0,0,0,0,1,7,0.0,12,0,10.0,0,0,0,4.121064254152599,0.1921493707174739,4
0,45,11,26,3,0,1,0,0,0,1,0,0,9,0.1333333333333333,1,0,4.0,0,0,0,4.322315530038771,0.5541427341993107,5
1,159,14,51,2,0,0,0,0,0,0,2,0,16,0.270440251572327,5,0,6.285714285714286,1,2,0,4.843502983310143,0.9743383343583376,8
1,44,22,14,2,1,1,0,0,0,1,0,0,8,0.2272727272727272,5,0,4.0,0,0,0,4.618078209349709,0.9658663890652012,4
1,103,19,4,3,1,1,0,1,0,1,1,0,12,0.0776699029126213,8,0,3.0,0,1,0,4.950731901925824,0.2924787963361792,4
1,46,20,19,4,0,2,0,0,0,0,0,0,10,0.0,6,0,3.75,0,0,0,3.849785467802861,0.4571395440244198,5
0,45,16,21,2,0,1,0,0,0,1,0,0,8,0.0,7,0,6.0,0,0,0,4.143607886039516,0.5486631718381836,4
1,51,26,18,3,0,2,0,0,0,0,0,0,9,0.0,9,0,7.5,0,0,0,4.0322539597804266,0.2187591120168084,5
1,38,19,12,3,0,1,0,0,0,0,0,0,8,0.0,5,0,3.0,0,0,0,3.893086896197163,0.4284499668837376,4
1,81,27,47,2,0,1,0,0,0,0,0,0,8,0.2839506172839506,8,0,2.625,0,0,0,4.750119682261063,1.1642683114671786,5
0,112,31,74,2,10,1,0,0,0,0,0,0,17,0.0,9,0,5.166666666666667,0,0,1,4.269477419308382,0.3135390361294759,4
1,39,16,15,2,0,1,0,0,0,1,0,0,7,0.0,6,0,6.5,0,0,0,3.923365924534973,0.3286298296565447,4
1,99,15,76,2,2,1,0,0,0,1,0,0,14,0.0808080808080808,5,0,4.916666666666667,0,0,0,4.904264009963332,0.6516632187488666,7
0,45,27,10,2,1,1,0,0,0,1,0,0,7,0.0,8,0,4.0,0,0,0,4.224751985026256,0.3477697829402955,3
1,60,35,18,5,1,3,0,0,0,0,0,0,11,0.0333333333333333,6,0,3.5,0,0,1,4.129085753935211,0.7486671622205828,4
0,74,19,48,3,0,1,0,0,0,0,0,0,17,0.081081081081081,5,0,2.5,0,0,0,4.418649231912445,0.8775474783073206,10
0,61,18,36,3,3,1,0,0,0,0,0,0,11,0.0,5,1,6.2,0,0,0,4.079332469209647,0.5154520341418672,4
1,40,32,0,4,0,3,0,0,0,1,0,0,7,0.125,8,0,0.0,0,0,1,4.215311532225101,0.6103995947285251,2
1,52,24,21,3,0,1,0,0,0,0,0,1,8,0.0384615384615384,7,0,5.333333333333333,0,0,0,4.378727103656465,0.2760197730260767,4
1,88,24,33,7,1,2,0,1,0,1,0,0,15,0.0,9,0,5.6,0,0,1,4.325560813820691,0.1303138943312704,4
0,74,12,27,2,0,0,0,0,0,0,1,0,10,0.027027027027027,3,0,8.0,0,1,0,4.18588130783542,0.3316080375238554,4
0,46,16,23,2,1,1,0,0,0,0,0,0,9,0.0652173913043478,4,0,5.333333333333333,0,0,0,4.468576629687865,0.6127238668374342,4
0,54,17,30,3,0,1,0,0,0,0,0,0,8,0.0,3,0,9.0,0,0,0,4.16879971527931,0.233925699955338,4
1,54,21,26,1,1,0,0,0,0,0,0,0,9,0.0,7,1,7.333333333333333,0,0,0,4.233795548692773,0.0747199418381449,6
0,38,16,14,2,0,1,0,0,0,1,0,0,8,0.0,7,0,3.6666666666666665,0,0,0,4.063202513215852,0.6604379433136165,4
0,67,15,45,2,3,1,0,0,0,0,0,0,11,0.0,3,0,6.5,0,0,0,4.361417557494121,0.1803646089524847,5
1,62,13,42,5,1,0,0,0,0,0,0,0,14,0.0,4,0,5.333333333333333,0,0,0,4.350294142705842,0.0183806570237026,7
1,59,17,35,3,0,0,0,0,0,0,0,0,10,0.0677966101694915,6,0,4.166666666666667,0,0,0,4.342507092741192,0.345682666844503,6
1,57,38,11,4,0,2,0,0,0,1,0,0,8,0.0175438596491228,14,0,4.5,0,0,0,4.166333549959635,0.1866676635930105,3
0,32,12,13,1,1,0,0,0,0,0,0,0,7,0.0,4,0,5.0,0,0,0,3.929229296672175,0.3020785885935412,4
1,46,25,14,2,0,1,0,0,0,0,0,0,8,0.0,9,0,5.5,0,0,0,3.961077108645552,0.3152786719640835,5
0,37,16,13,2,0,1,0,0,0,1,0,0,7,0.0,7,0,5.5,0,0,0,3.949204974194067,0.4398532467752245,4
1,36,29,0,2,0,1,0,0,0,0,0,0,5,0.0277777777777777,9,0,0.0,0,0,1,4.062305474194334,0.3931960946973604,2
1,52,18,27,2,0,0,0,0,0,0,0,0,10,0.0384615384615384,6,0,3.8,0,0,0,4.187535209236147,0.3438122120191451,7
1,32,24,1,2,0,1,0,0,0,0,0,0,6,0.25,4,0,0.0,0,0,1,3.8431390622295662,1.540493669867756,3
0,34,11,15,1,0,0,0,0,0,1,0,0,5,0.0,3,0,14.0,0,0,0,3.836600340868551,0.4180872871197261,3
0,27,19,1,3,0,2,0,0,0,0,0,0,7,0.0,6,0,0.0,0,0,0,3.6241717609419575,0.6650148698546473,3
1,92,22,63,2,1,1,0,0,0,0,0,0,12,0.3043478260869565,8,0,3.5,0,0,0,4.706166744360949,1.1206198971649437,8
0,102,12,83,2,7,1,0,0,0,0,0,0,17,0.0588235294117647,3,0,4.0625,0,0,0,4.686784623865111,0.2627943388126875,7
0,32,23,1,2,0,1,0,0,0,1,0,0,6,0.0,6,0,0.0,0,0,0,4.007048827786958,0.4014071651678498,3
0,29,20,1,2,0,1,0,0,0,1,0,0,6,0.0,5,0,0.0,0,0,0,3.853863219997788,0.7097239722300149,3
1,119,24,60,4,1,1,0,0,0,0,1,0,18,0.0084033613445378,9,0,4.9,0,0,0,4.448702083928646,0.2245921235962794,9
0,59,21,30,2,0,1,0,0,0,1,0,0,9,0.0677966101694915,6,0,7.333333333333333,0,0,0,4.293683626279562,0.4130010137779367,6
0,54,19,28,2,2,0,0,0,0,0,0,1,8,0.0,6,0,6.0,0,0,0,4.233795548692774,0.3446190262084072,3
1,151,10,134,3,1,0,0,1,0,0,0,0,9,0.271523178807947,4,0,5.5,0,0,0,4.860901304385998,0.9652450485812426,3
0,84,25,52,3,5,1,0,0,0,0,0,0,14,0.0357142857142857,9,0,5.714285714285714,0,0,0,4.355023566265563,0.4481551981509419,5
1,55,10,38,3,1,1,0,0,0,0,0,1,11,0.0,3,0,5.333333333333333,0,0,0,4.135841650542515,0.420109521862937,6
0,18,9,1,1,0,0,0,0,0,1,0,0,5,0.0,2,0,0.0,0,0,0,3.3082708345352603,0.8035243681320421,3
0,39,16,15,2,0,1,0,0,0,1,0,0,6,0.0,5,0,14.0,0,0,0,4.060416641661804,0.4965549155505451,3
0,28,19,1,2,1,1,0,0,0,1,0,0,7,0.0,5,1,0.0,0,0,0,3.896291529045928,0.6078645525735334,3
0,32,16,9,3,1,1,0,0,0,0,0,0,8,0.0,3,1,3.5,0,0,0,3.8431390622295662,0.8829337775899231,3
0,16,9,0,1,0,0,0,0,0,0,0,0,4,0.0,2,0,0.0,0,0,0,3.5,0.7574777649702338,2
1,23,12,4,1,0,0,0,0,0,0,0,0,6,0.0,4,0,2.0,0,0,0,3.708132064658602,0.3641517663849123,4
0,29,21,1,3,0,2,0,0,0,0,0,0,7,0.0,8,0,0.0,0,0,0,3.9952378913808873,0.5935128022505195,3
1,29,20,1,2,0,1,0,0,0,1,0,0,6,0.0,5,0,0.0,0,0,0,3.926272374139508,0.4397905205218737,3
0,41,15,18,2,0,1,0,0,0,1,0,0,7,0.0,3,0,8.0,0,0,0,4.11073699294092,0.3799478801755871,4
1,22,6,8,1,0,0,0,0,0,1,0,0,5,0.1818181818181818,1,0,1.0,0,0,1,4.027169118440616,1.0733014835188397,3
1,52,14,31,3,0,1,0,0,0,0,0,0,10,0.0384615384615384,4,0,4.8,0,0,0,4.320658834259276,0.3120093138824281,5
1,38,20,11,3,0,1,0,0,0,0,0,0,10,0.0263157894736842,7,0,2.5,0,0,0,3.918208434154616,0.5535418638772207,6
0,30,21,1,3,0,2,0,0,0,1,0,0,7,0.0,5,0,0.0,0,0,0,4.0062389286533895,0.4914395520006891,3
1,76,50,19,4,1,3,0,0,0,0,0,2,10,0.1052631578947368,17,0,3.0,0,0,0,4.409893507236863,0.5154058044855966,4
1,430,13,10,24,0,2,1,1,0,0,10,1,99,0.0395348837209302,0,0,4.0,9,10,0,4.7147887327312095,0.491671789419922,21
0,37,19,11,2,0,1,0,0,0,0,0,0,6,0.0,7,0,10.0,0,0,1,3.848249906801916,0.3579038934372663,3
0,73,23,43,3,5,1,0,0,0,0,0,0,12,0.0684931506849315,6,0,5.166666666666667,0,0,0,4.385756848415241,0.4404782383898409,3
1,56,15,34,2,0,1,0,0,0,0,0,0,11,0.1071428571428571,5,0,4.4,0,0,0,4.356312404804365,0.4714701837791936,5
0,70,13,49,1,7,0,0,0,0,1,0,0,14,0.0,4,0,3.9,0,0,0,4.388361818902569,0.2537940062795077,5
1,70,20,43,3,0,1,0,0,0,0,0,0,10,0.0,9,0,7.6,0,0,0,4.425591860285231,0.3296502454035032,5
0,52,19,26,2,1,1,0,0,0,0,0,0,9,0.0769230769230769,5,0,6.0,0,0,0,4.38815450741941,0.4029866607699088,5
0,31,22,1,2,1,1,0,0,0,1,0,0,7,0.0,7,1,0.0,0,0,0,3.840347116419752,0.5286791246968697,3
1,90,19,63,4,0,1,0,0,0,1,0,0,11,0.2444444444444444,6,0,3.1818181818181817,0,0,1,4.598093131678854,1.068168816592849,6
0,45,15,23,3,0,1,0,0,0,0,0,0,9,0.1555555555555555,6,0,4.0,0,0,0,4.320096297369663,0.8142193182087819,5
0,55,20,28,3,0,1,0,0,0,0,0,0,9,0.0363636363636363,5,0,5.75,0,0,0,4.490564832439369,0.3702578522188959,4
1,65,12,46,3,2,1,0,0,0,0,0,0,12,0.0769230769230769,2,0,6.0,0,0,0,4.504394113022326,0.3212250990947764,6
1,41,33,1,2,1,1,0,0,0,0,0,0,7,0.073170731707317,11,0,0.0,0,0,0,4.113172736114331,0.5663077923414763,3
1,71,25,26,2,1,0,0,0,0,1,1,0,11,0.1690140845070422,12,1,5.666666666666667,0,1,0,4.688499148210957,0.7080627063508831,4
1,83,16,46,2,0,1,0,0,0,1,1,0,12,0.072289156626506,6,0,4.0,0,1,0,4.713206185661419,0.2322490023328905,7
1,73,18,48,1,1,0,0,0,0,0,0,1,8,0.3424657534246575,8,0,2.375,0,0,0,4.746560909067808,1.1912344822962626,5
1,44,30,7,2,2,1,0,0,0,0,0,0,8,0.2045454545454545,6,0,0.0,0,0,0,4.555467129755084,1.0317182373304212,3
1,114,16,14,4,1,1,0,0,0,0,1,0,17,0.0526315789473684,3,0,6.0,0,1,0,4.613249559866122,0.1678170629849373,8
1,127,50,19,4,1,3,0,0,0,1,3,2,18,0.1574803149606299,17,0,1.3333333333333333,2,3,0,4.786698939983742,0.7936197645902092,4
1,99,20,4,4,0,1,0,1,0,0,1,0,12,0.0707070707070707,8,0,3.0,0,1,0,4.89025570745916,0.4172261920022504,4
1,56,20,29,2,1,1,0,0,0,0,0,0,11,0.0,4,1,6.0,0,0,0,4.518411895854318,0.1336217214793083,7
0,51,17,26,3,0,1,0,0,0,1,0,0,8,0.0,5,0,7.666666666666667,0,0,0,4.110685332329446,0.275582946665962,4
1,51,14,30,5,0,1,0,0,0,0,0,1,10,0.0,6,0,5.0,0,0,0,3.861042196724363,0.2678438564255156,4
0,40,24,8,2,1,1,0,0,0,1,0,0,9,0.0,7,1,2.5,0,0,0,4.212814895472355,0.3159953957503579,5
1,33,14,12,3,0,2,0,0,0,0,0,0,10,0.0,2,0,2.6666666666666665,0,0,0,3.801377452429549,0.5471526178714993,6
0,88,20,60,2,5,1,0,0,0,1,0,0,14,0.0,7,0,6.375,0,0,0,4.228930206275033,0.2649604594932306,6
0,122,18,96,2,0,1,0,0,0,1,0,0,21,0.0491803278688524,5,0,4.933333333333334,0,0,0,4.121200690389197,1.8291733334453493,5
0,53,20,26,3,0,1,0,0,0,0,0,0,8,0.0,7,0,7.666666666666667,0,0,0,4.207102361466449,0.150782142288792,4
1,46,37,1,6,1,5,0,0,0,1,0,0,11,0.0869565217391304,9,0,0.0,0,0,0,4.338141847079169,0.5620838901393962,3
1,36,29,0,2,0,1,0,0,0,0,0,0,5,0.0,9,0,0.0,0,0,1,4.083274571476652,0.1730769877764816,2
0,31,23,1,2,0,1,0,0,0,0,0,1,6,0.0,7,0,0.0,0,0,0,3.8001821971347023,0.6482442402344089,3
0,48,16,24,2,2,1,0,0,0,1,0,0,11,0.0,3,0,3.6,0,0,0,4.147593366144262,0.5053387464924473,6
1,101,6,39,2,0,0,0,0,0,1,3,0,14,0.0,3,0,8.75,2,3,0,4.264700218300117,0.2488009946415922,5
0,41,19,15,3,0,1,0,0,0,0,0,0,8,0.0,6,0,4.0,0,0,0,4.277926089825634,0.1204285484102347,4
1,43,35,1,4,0,3,0,0,0,0,0,1,8,0.0930232558139534,9,0,0.0,0,0,0,4.303830742923251,0.2692841836605273,3
0,15,8,0,1,0,0,0,0,0,0,0,0,4,0.0,2,0,0.0,0,0,0,3.506890595608518,0.5859279105328536,2
0,42,10,25,3,3,1,0,0,0,0,0,0,10,0.0714285714285714,2,0,4.25,0,0,0,4.246151577840245,0.7182246321665827,3
0,51,15,29,1,3,0,0,0,0,0,0,0,9,0.0,5,0,6.0,0,0,0,3.9530021170359873,0.4792618846212276,4
1,48,27,14,3,3,1,0,0,0,0,0,0,11,0.0,7,1,3.6666666666666665,0,0,0,3.965199876515855,0.6081898149824245,4
0,49,19,23,1,0,0,0,0,0,0,0,1,8,0.0,7,0,6.333333333333333,0,0,0,4.189230835299611,0.399229194189477,5
1,25,13,1,1,1,0,0,0,0,1,1,0,8,0.0,5,1,0.0,0,1,0,4.213660689688185,0.1856833387107161,3
0,49,15,26,2,2,1,0,0,0,1,0,0,10,0.0204081632653061,3,0,4.0,0,0,1,4.00799441649887,0.5312039339785602,5
0,48,25,16,3,1,1,0,0,0,0,0,0,8,0.0208333333333333,7,0,4.0,0,0,0,4.266541406655652,0.3724268352943543,3
1,108,25,29,4,1,1,0,1,0,0,1,0,15,0.037037037037037,6,0,3.8333333333333335,0,0,0,4.661248901614566,0.0325720690924863,6
1,39,20,12,2,0,0,0,0,1,0,0,0,7,0.0,7,0,4.5,0,0,0,4.028490680178816,0.2632630941294757,4
0,80,20,53,4,3,2,0,0,0,0,0,0,13,0.0,3,0,6.571428571428571,0,0,0,4.286602940118883,0.2533814962465313,5
0,36,17,12,2,1,1,0,0,0,0,0,0,7,0.0,4,0,5.0,0,0,0,3.9749375012019263,0.5593164944865295,3
0,28,19,1,2,1,1,0,0,0,1,0,0,7,0.0,3,1,0.0,0,0,0,3.91379956460568,0.659275993549739,3
1,33,14,11,2,0,1,0,0,0,1,0,0,6,0.0606060606060606,4,0,4.0,0,0,0,4.294246013232288,0.5877538163419475,3
0,23,14,1,3,0,2,0,0,0,1,0,0,7,0.0,2,0,0.0,0,0,1,3.696624999159019,0.5046617743643512,3
0,77,18,51,2,5,1,0,0,0,1,0,0,12,0.0,5,0,6.285714285714286,0,0,0,4.311779809188084,0.2502143826114792,4
1,342,19,315,5,6,2,0,1,0,1,0,0,37,0.4152046783625731,5,0,3.380952380952381,5,4,0,5.102184806685992,1.5446140539024862,5
1,38,29,1,2,1,1,0,0,0,1,0,0,7,0.131578947368421,8,0,0.0,0,0,0,4.293594289588575,0.8332569567058091,3
0,73,22,44,2,5,1,0,0,0,0,0,0,12,0.0,7,0,5.285714285714286,0,0,0,4.2945545745150735,0.3433475578303002,4
0,33,15,10,2,0,1,0,0,0,1,0,0,7,0.0,5,0,4.0,0,0,0,4.066677073707229,0.314357951556121,4
1,67,17,43,3,1,1,0,0,0,0,0,0,12,0.0,4,0,5.142857142857143,0,0,0,4.139601691100084,0.4242493452319931,6
0,39,18,13,2,0,1,0,0,0,1,0,0,7,0.0512820512820512,5,0,9.0,0,0,0,4.201692923824033,0.2240133132940314,4
0,24,15,1,2,0,1,0,0,0,1,0,0,6,0.0,4,0,0.0,0,0,0,3.803508854797679,0.7095685921300323,3
0,26,17,1,2,0,1,0,0,0,1,0,0,6,0.0,3,0,0.0,0,0,0,3.8441065448145375,0.7132474293534681,3
0,39,7,24,2,0,0,0,0,0,1,0,0,9,0.1282051282051282,2,0,2.8,0,0,0,4.089781950065051,0.6878350840738113,6
1,62,22,33,3,1,2,0,0,0,0,0,0,8,0.3548387096774194,6,0,1.4285714285714286,0,0,0,4.629374286396269,1.5013091662043707,3
1,41,13,21,2,1,0,0,0,0,0,0,1,8,0.0,4,0,4.25,0,0,0,4.1923218214274165,0.1455837284526604,4
1,40,31,1,2,0,1,0,0,0,1,0,0,6,0.0,10,0,0.0,0,0,1,4.043942707918268,0.1883504320377934,3
0,51,26,18,3,2,1,0,0,0,0,0,0,9,0.0,7,1,5.0,0,0,0,4.18520041193298,0.4243724462646548,3
0,59,12,39,2,3,1,0,0,0,1,0,0,12,0.0677966101694915,2,0,5.6,0,0,1,4.427584211531937,0.4074535964682939,5
0,50,20,22,3,0,1,0,0,0,1,0,0,9,0.0,6,0,4.5,0,0,0,3.921593511005629,0.4397461621810695,5
1,52,25,20,2,1,1,0,0,0,0,0,0,8,0.0576923076923076,8,0,16.0,0,0,0,3.992863035074337,0.5453699034300623,4
1,43,15,21,2,1,0,0,0,0,0,0,0,8,0.0,6,0,4.25,0,0,0,3.998728057370605,0.5188566431951709,4
1,94,42,45,3,4,1,0,0,0,0,0,0,13,0.1276595744680851,14,0,5.6,0,0,0,4.325034001454413,0.5404451976529737,5
0,60,15,38,4,0,1,0,0,0,0,0,0,9,0.0,4,0,8.5,0,0,0,4.025756904931549,0.402973563620543,4
0,18,11,0,1,0,0,0,0,0,0,0,0,4,0.0,3,0,0.0,0,0,0,3.614369445886756,0.5577522141675966,2
1,204,27,23,2,1,1,0,0,0,1,1,1,15,0.1323529411764706,8,0,6.666666666666667,0,2,1,5.142285105937933,0.6611525462269019,5
1,94,24,43,7,0,2,0,1,0,1,0,0,14,0.1595744680851064,9,0,4.6,0,0,1,4.688460097983368,0.5004462247269986,4
1,41,33,1,4,1,3,0,0,0,0,0,0,9,0.0,10,1,0.0,0,0,0,4.043544614839371,0.2904840993951849,3
1,19,11,1,2,0,1,0,0,0,0,0,0,6,0.1578947368421052,1,0,0.0,0,0,0,3.576617644908665,1.4516090189085418,3
1,35,22,6,2,1,0,0,0,0,0,0,0,7,0.0285714285714285,7,1,2.0,0,0,0,3.9760107890421,0.3947205946526227,3
1,63,26,30,3,0,0,0,0,0,0,0,0,10,0.0,8,0,4.0,0,0,0,4.163965146396304,0.0999498509097834,6
1,53,21,25,2,0,1,0,0,0,0,0,0,9,0.0754716981132075,8,0,4.25,0,0,0,4.284458313732673,0.4988449735030748,6
1,75,44,24,4,3,3,0,0,0,0,0,2,15,0.0,15,0,4.75,0,0,1,4.177328825158426,0.087110973938565,6
1,35,27,0,2,0,1,0,0,0,1,0,0,5,0.1142857142857142,8,0,0.0,0,0,0,4.272140159802108,0.5138684191741838,2
1,210,14,4,4,1,1,0,0,0,1,11,0,37,0.0666666666666666,4,0,3.0,10,11,0,4.946727685288214,0.2036401132092787,3
0,44,13,23,1,2,0,0,0,0,1,0,0,7,0.0,5,0,6.666666666666667,0,0,0,4.036040925839783,0.4471540872974581,3
1,150,40,9,5,0,3,0,0,0,0,1,0,12,0.4866666666666667,16,0,7.0,0,1,0,4.430847778121618,2.39019511502598,4
1,39,22,10,3,1,1,0,0,0,0,0,0,9,0.0,7,0,3.0,0,0,0,4.028490680178816,0.3178891158683645,4
1,64,15,42,2,1,1,0,0,0,0,0,1,13,0.0,3,0,4.857142857142857,0,0,0,4.163702445739504,0.3021183134123606,9
1,106,20,39,4,4,2,0,0,0,1,1,0,18,0.160377358490566,5,0,5.5,0,1,0,4.850101295053743,0.5703504257526728,7
1,34,20,6,2,0,1,0,0,0,1,0,0,7,0.0,8,0,4.0,0,0,0,4.028639311838576,0.1861646267690025,4
0,65,16,41,2,0,1,0,0,0,1,0,0,12,0.0,7,0,4.857142857142857,0,0,0,4.202707336492527,1.1420986671059772,4
1,60,14,39,3,1,1,0,0,0,0,0,0,13,0.0333333333333333,2,0,3.875,0,0,0,4.110383096578171,0.3755072510849266,8
1,25,14,4,1,0,0,0,0,0,0,0,0,6,0.0,4,0,2.0,0,0,0,3.813660689688185,0.2925606936478603,4
0,39,21,11,2,0,1,0,0,0,0,0,0,7,0.1282051282051282,7,0,4.0,0,0,0,4.291687154704211,0.6225997092570738,4
0,38,15,16,3,1,1,0,0,0,0,0,0,9,0.0,2,1,4.333333333333333,0,0,0,4.201231789474708,0.4799444729920085,4
1,129,8,27,2,1,0,0,0,0,1,1,0,23,0.0232558139534883,3,0,4.4,0,5,0,4.7718599618796045,1.2051817715457067,6
